X, Result (x)
0.1, -2.302570194697126;
0.25, -1.3862912435548962;
0.4, -0.9162902507049941;
0.55, -0.5978367589193866;
0.7000000000000001, -0.35667490608944585;
0.8500000000000001, -0.16251892288177314;
1.0, 0.0;
1.15, 0.13976194006761902;
1.2999999999999998, 0.2623642620047484;
1.4499999999999997, 0.3715635020607407;
1.5999999999999996, 0.47000319795833334;
1.7499999999999996, 0.559615667451329;
1.8999999999999995, 0.6418533769264286;
2.0499999999999994, 0.7178396295365327;
2.1999999999999993, 0.7884568521057482;
2.349999999999999, 0.8544140040409461;
2.499999999999999, 0.9162902507049938;
2.649999999999999, 0.9745585449292791;
2.799999999999999, 1.0296171606334799;
2.949999999999999, 1.0818042452115684;
3.0999999999999988, 1.1314003429852737;
3.2499999999999987, 1.17865182692457;
3.3999999999999986, 1.2237739948235928;
3.5499999999999985, 1.2669451481347567;
3.6999999999999984, 1.3083288106632067;
3.8499999999999983, 1.3480711752981638;
3.9999999999999982, 1.386291243554896;
4.149999999999999, 1.4231035730296513;
4.299999999999999, 1.4586125157216503;
4.449999999999999, 1.492900358031631;
4.6, 1.5260508751208144;
4.75, 1.5581415944607233;
4.9, 1.589230893797836;
5.050000000000001, 1.6193822247121867;
5.200000000000001, 1.6486551105580725;
5.350000000000001, 1.6770917239760539;
5.500000000000002, 1.7047415509304833;
5.650000000000002, 1.7316515672398989;
5.8000000000000025, 1.7578526000745958;
5.950000000000003, 1.783384213868784;
6.100000000000003, 1.8082796643330263;
6.2500000000000036, 1.8325757072115958;
6.400000000000004, 1.8562905705218555;
6.550000000000004, 1.8794555948228777;
6.700000000000005, 1.9021013684094275;
6.850000000000005, 1.9242408614938575;
7.000000000000005, 1.945900389612252;
7.150000000000006, 1.9671058310854532;
7.300000000000006, 1.9878662237051954;
7.450000000000006, 2.0082040043966907;
7.600000000000007, 2.0281359698863333;
7.750000000000007, 2.047684417492902;
7.9000000000000075, 2.0668524931806957;
8.050000000000008, 2.0856596722262486;
8.200000000000008, 2.104125454988561;
8.350000000000009, 2.1222510598546394;
8.500000000000009, 2.1400536211269103;
8.65000000000001, 2.157550372696541;
8.80000000000001, 2.1747410515540238;
8.95000000000001, 2.1916408821414706;
9.10000000000001, 2.208259497155691;
9.25000000000001, 2.22461270936992;
9.400000000000011, 2.2406969441840343;
9.550000000000011, 2.2565262460825926;
9.700000000000012, 2.272114887277523;
9.850000000000012, 2.287458625932532;
10.000000000000012, 2.302570194697128;
10.150000000000013, 2.317456478286644;
10.300000000000013, 2.3321309909660077;
10.450000000000014, 2.3465870917392535;
10.600000000000014, 2.3608368945205225;
10.750000000000014, 2.3748927830889466;
10.900000000000015, 2.3887479152222912;
11.050000000000015, 2.4024134334863256;
11.200000000000015, 2.4158944278550902;
11.350000000000016, 2.4292028832490633;
11.500000000000016, 2.442330145341724;
11.650000000000016, 2.4552870444510893;
11.800000000000017, 2.4680779180539196;
11.950000000000017, 2.4807144858516543;
12.100000000000017, 2.493186515350143;
12.250000000000018, 2.5055046415670303;
12.400000000000018, 2.5176797712789765;
12.550000000000018, 2.529701911879976;
12.700000000000019, 2.5415809906377484;
12.85000000000002, 2.5533203494305834;
13.00000000000002, 2.5649307741340572;
13.15000000000002, 2.576401025892489;
13.30000000000002, 2.587740959353603;
13.45000000000002, 2.5989606812628043;
13.600000000000021, 2.6100493100800706;
13.750000000000021, 2.6210161042552453;
13.900000000000022, 2.6318636928598687;
14.050000000000022, 2.6426021452888815;
14.200000000000022, 2.653219574078253;
14.350000000000023, 2.6637252353879717;
14.500000000000023, 2.674121439972321;
14.650000000000023, 2.6844182504345437;
14.800000000000024, 2.6946028813431866;
14.950000000000024, 2.704684613152666;
